,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
169,ROOFTOP,"80 N Genesee St, Utica, NY 13502, USA",ChIJu_DoBBdH2YkR4i-3yToNsCY,N' BABE,43.1068822,-75.2209484,1,13502,OK,"bar,establishment,food,point_of_interest,restaurant"
170,,,,N'KAIR,,,0,,ZERO_RESULTS,
171,ROOFTOP,"815 Hwy T, Foristell, MO 63348, USA",ChIJwXiFKFi03ocRYUH3WoJgf9U,N(INC.),38.7469366,-90.96250270000002,1,63348,OK,"establishment,food,point_of_interest"
172,APPROXIMATE,"Nagybaracska, 6527 Hungary",ChIJP262QkcmQ0cRPjtnfiADnrI,N. BARACKA,46.0444015,18.9048387,2,6527,OK,"locality,political"
173,APPROXIMATE,"Novi Bečej, Serbia",ChIJ80irpp4tW0cREU7Bek9Q-F8,N. BECEJ,45.6011009,20.1415393,1,,OK,"locality,political"
174,,,,N. BETCHEI,,,0,,ZERO_RESULTS,
175,ROOFTOP,"40 Buckskin Rd, Belgrade, MT 59714, USA",ChIJzbl418k3RVMR8Jdny9pDu-Q,N. CHIR,45.773792,-111.232611,1,59714,OK,"establishment,point_of_interest,store"
176,APPROXIMATE,"Krujë District, Albania",ChIJqTXaj3nOURMRgQOdmWkjxog,N. CRUJA,41.5094765,19.7710732,1,,OK,"locality,political"
177,APPROXIMATE,"Faloj, Rajasthan, India",ChIJt2q_tW4NZzkR9uh9kbs6Yhg,N. FALOJ,23.8692644,73.8713099,1,,OK,"locality,political"
178,APPROXIMATE,"Futog, Serbia",ChIJZUOYxYUNW0cRo5cqc_WP3RE,N. FUTOG,45.2419366,19.7159502,1,,OK,"locality,political"
179,APPROXIMATE,"Nova Gajdobra, Serbia",ChIJm7nlYA5lW0cRpJCPnCaqqbI,N. GAJDOBRA,45.3260608,19.4330546,1,,OK,"locality,political"
180,APPROXIMATE,"35400, Nova Gradiška, Croatia",ChIJdbWN_p5hZ0cRUMYrhlCtAAQ,N. GRADISKA,45.2581558,17.3839626,1,35400,OK,"locality,political"
181,,,,N. KANEZCE,,,0,,ZERO_RESULTS,
182,APPROXIMATE,"Kanjiža, Serbia",ChIJk2PIMNiQREcRX-nezP9EdvU,N. KANJIZA,46.061602,20.0469576,1,,OK,"locality,political"
183,APPROXIMATE,"Konya, Turkey",ChIJRfcV1miF0BQRZwkGCPzQDSQ,N. KONIJA,37.8746429,32.4931554,1,,OK,"locality,political"
184,GEOMETRIC_CENTER,"Maniza Rd, Wharton, TX 77488, USA",ChIJP0K7x2hzQYYRiqDK2Xv8p4Q,N. MANIZA,29.3842559,-96.09375480000001,1,77488,OK,route
185,APPROXIMATE,"46530 Pöljö, Finland",ChIJkR1JnVFXkEYRpkkAmWHvIHs,N. POLJO,61.010575,27.1731947,1,46530,OK,"locality,political"
186,APPROXIMATE,"Novi Sad, Serbia",ChIJVTTpPWEQW0cRKP4kN2h9bws,N. SAD,45.2671352,19.8335496,1,,OK,"locality,political"
187,APPROXIMATE,"Nová Skřeněř, 504 01 Nový Bydžov, Czechia",ChIJrT4ZjoQhDEcRvodFrwUYkHI,N. SKRENER,50.2418913,15.4251953,2,504 01,OK,"neighborhood,political"
188,,,,N. TRADJIS,,,0,,ZERO_RESULTS,
189,APPROXIMATE,"Vrbas, Serbia",ChIJC-vFBVpFW0cRZq3L13mlPTQ,N. VRBAS,45.5701534,19.6449683,1,,OK,"locality,political"
190,,,,N.BETCHEI,,,0,,ZERO_RESULTS,
